date,ghi,TOA,SZA,mr,GHIcc,GHI,Cloud coverage,GHIAdap,GHIAdap1
2017-09-16 04:00:00,,0.0,157.9926281220009,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-16 05:00:00,,0.0,151.9553311547482,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-16 06:00:00,,0.0,141.20129477595796,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-16 07:00:00,,0.0,128.64424918688263,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-16 08:00:00,,0.0,115.37417578216257,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-16 09:00:00,,0.0,101.82019361410124,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-16 10:00:00,,42.29186639599247,88.20440892169209,16.42574289783531,4.982969721271487,3.5615,5.733333333333333,3.5615,3.5615
2017-09-16 11:00:00,,356.19306190642817,74.69829340316127,3.249776788650975,214.054036058106,21.875400000000003,100.0,74.14467326513724,74.14467326513724
2017-09-16 12:00:00,,643.8340436486073,61.50946070871624,1.8190047594301584,457.7595891581348,100.4521,100.0,167.4819707499317,167.4819707499317
2017-09-16 13:00:00,,885.612554065999,48.99338072332023,1.325268167277218,672.7932215849592,246.1983,100.0,286.5165187040998,286.5165187040998
2017-09-16 14:00:00,,1065.0517872315377,37.89927044084506,1.1027405048421488,835.6684584031334,396.2256,100.0,404.3813185105553,404.3813185105553
2017-09-16 15:00:00,,1169.9232559423458,29.91218817592919,1.004144917588682,931.7831460590656,510.405,100.0,493.5510293598469,493.5510293598469
2017-09-16 16:00:00,,1193.0801429140774,27.877720413960883,0.9847015690961816,953.0839193009992,518.745,100.0,495.3460958146711,495.3460958146711
2017-09-16 17:00:00,,1132.9443445681748,32.923903072830775,1.036835891251526,897.8243388790662,464.5653,100.0,457.44070240445683,457.44070240445683
2017-09-16 18:00:00,,993.6140161828052,42.594336128376106,1.181760304687533,770.5616800816166,336.651,100.0,358.7601969273197,358.7601969273197
2017-09-16 19:00:00,,784.5842893831776,54.458333287859006,1.4949621691098902,582.1973575350099,177.39690000000002,95.41666666666669,236.58557164633805,236.58557164633805
2017-09-16 20:00:00,,520.1001946127299,67.33516224980934,2.245829868924121,350.6847840092886,42.7933,90.83333333333331,124.6078339360464,124.6078339360464
2017-09-16 21:00:00,,218.1858858494357,80.69715016073238,5.159031019239548,107.33608127737683,11.386,42.766666666666666,64.291506539828,11.386
2017-09-16 22:00:00,,0.0,94.27375672165702,0.0,0.0,0.179,-1.0,0.179,0.179
2017-09-16 23:00:00,,0.0,107.8839421596065,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-17 00:00:00,,0.0,121.25191164230785,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-17 01:00:00,,0.0,134.24576432893215,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-17 02:00:00,,0.0,146.1402420797878,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-17 03:00:00,,0.0,155.19757543269128,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-17 04:00:00,,0.0,157.59812479644435,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-17 05:00:00,,0.0,151.59200636480534,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-17 06:00:00,,0.0,140.89297068891926,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-17 07:00:00,,0.0,128.3712959073137,0.0,0.0,0.0,-1.0,0.0,0.0
2017-09-17 08:00:00,,0.0,115.12015570639714,0.0,0.0,0.0,-1.0,0.0,0.0
