date,delta,mak,sza,TOA,GHIcc,GHI,tco3,tcwv,AOD BC,AOD DU,AOD SS,AOD OR,AOD SU,Cloud coverage,GHIera,GHIeracc,msl,ie,hcc,d2m,ghi
2021-10-16 12:00:00,-8.589403018842617,1.1328771488783393,54.32579551883531,808.2909999999999,688.1234000000001,688.1234000000001,272.5954416666667,3.139658333333333,0.0011,0.002083333333333325,0.0002,0.0057,0.0111,0.0,729.24609375,734.859375,101908.57125000001,-1.1569936625e-06,0.0,270.3426625,666.2046026609133
2021-09-03 14:00:00,7.845917462718833,0.8944422617219572,42.37300082152311,1020.2344,863.8629999999999,824.9797,268.3829416666667,4.7941,0.008276666666666625,0.001324999999999975,0.000893333333333325,0.04966666666666662,0.057108333333333296,1.7500000000000002,765.8378749999999,872.5058750000001,101742.703125,-2.8004578875e-06,0.0,275.57789375000004,809.8921251348436
2021-07-01 12:00:00,23.177188441312605,2.4719028144582693,74.51476259959855,381.044,306.301,196.463,259.81444666666664,0.44154333333333334,0.0043733333333333,0.0004,0.002338333333333325,0.029774999999999975,0.0530866666666666,77.58333333333333,370.13671875,370.43359375,102184.24124999999,-5.895690375e-07,0.0,251.29194375,292.0136641495865
2021-08-19 20:00:00,13.034054821227372,1.93733082058677,70.07413663417415,472.9705,397.8867,397.8869,268.9880283333333,1.0100933333333333,0.0012,0.00056,0.00082166666666665,0.0068,0.03289999999999997,0.0,269.58203125,269.87890625,100709.05625,-3.626082515e-07,0.0,241.87512625,372.5458468176914
2021-06-24 12:00:00,23.441880878089584,2.453409688025851,74.39484492498829,383.1075,318.3722,204.8385,276.56706,0.9290866666666667,0.0006683333333333,0.00014000000000000001,0.0006783333333333,0.00352999999999995,0.016209999999999974,65.08333333333333,364.3359375,367.26171875,102086.63187499999,-6.9409724375e-07,0.0,255.1854525,288.3926645091693
2021-11-14 10:00:00,-18.040896407164666,3.113601417421253,77.7687363684168,327.5888,231.03013333333334,61.851866666666666,264.5042711111111,6.300795555555555,0.00318,0.0032999999999999995,0.0001,0.0302266666666666,0.031626666666666664,70.95555555555556,300.515625,306.34375,101519.72000000002,-2.1060696e-06,0.8798828,277.789995,207.2563825961884
2021-07-12 19:00:00,22.094927378872317,1.5102115983012796,64.06592449540051,607.7647,490.1171,249.83769999999998,257.9782083333333,5.865875,0.002,0.000518333333333325,0.0017933333333333,0.022348333333333276,0.028661666666666648,93.03333333333333,389.01171875,388.30859375,101005.196875,-1.1608354125e-06,0.0979805,255.2412675,314.7123336929162
2022-04-21 20:00:00,11.584477881689722,1.9684790132031555,70.40294956674016,461.4269,368.3099,243.7917,245.50009666666665,2.6282216666666667,0.00078166666666665,0.0011766666666666499,0.0001,0.008483333333333301,0.05179499999999997,46.28333333333333,244.18359375,253.390625,100421.1275,-3.9752921999999996e-07,0.6625289775000001,247.64891875,349.3491549802229
2022-04-06 21:00:00,6.155857075258399,3.781431497920035,79.95910857388495,314.9124,202.3404,20.413600000000002,235.09006333333332,13.73811,0.00266,0.0006,0.0003,0.04410666666666665,0.1197,100.0,101.5703125,122.6015625,101233.54875,-1.5785918e-07,0.10507965075,278.54820125,131.4527148507731
2022-04-14 17:00:00,9.120518783238186,0.8299167599687497,37.226280609385576,1095.9376,943.9116,943.9114,241.407835,5.828461666666667,0.0007,0.0002,0.0003,0.008103333333333325,0.01265666666666665,0.0,764.02734375,858.5703125,101336.18062500001,-1.516891625e-06,0.0,270.58160000000004,924.9568500539374
2021-07-27 18:00:00,19.401025123164494,1.0900361235776135,52.690802799255756,834.0454,727.0509999999999,727.0511,277.11956833333335,1.9845033333333333,0.0028,0.00078666666666665,0.0016783333333333249,0.014389999999999976,0.0276,0.0,609.29296875,623.296875,100889.03125,-1.0112707887500001e-06,0.0,262.7579875,713.8367493707299
2021-07-23 20:00:00,20.247236515646932,2.333702173434459,73.57071614417451,399.4847,310.4217,297.8144,264.3944433333333,3.5130816666666664,0.001988333333333325,0.0006,0.000805,0.013261666666666625,0.0254883333333333,4.133333333333334,202.439453125,204.072265625,100936.709375,-4.2574720625e-07,0.0,250.81629375,311.8392664509169
2021-10-11 11:00:00,-6.713437096439046,1.8389354088904974,68.95709516828937,497.85709999999995,406.408,136.2509,269.67039,1.9564366666666666,0.0033,0.002514999999999975,0.00172166666666665,0.018759999999999975,0.025105000000000002,74.78333333333333,332.55078125,462.58984375,102151.315,-3.8193248125e-06,0.0,278.0809925,350.47285149226894
2021-12-15 14:00:00,-23.219423861684025,0.727569269194464,24.723727782362047,1272.3876,1074.3977,778.2186,260.51163833333334,11.738663333333333,0.0019033333333333,0.00101,0.0002,0.02237499999999995,0.027373333333333298,49.266666666666666,882.3203125,1069.6171749999999,101566.64125,-4.7358946375e-05,0.078758239625,280.28545875000003,718.0834232290542
2022-01-10 17:00:00,-22.074343173490874,0.6811686692332367,14.011776076865475,1362.9956,1145.0946,426.8449,249.17023999999998,13.055198333333333,0.004174999999999975,0.0003,0.000393333333333325,0.060059999999999926,0.037763333333333274,100.0,763.34375,1069.1640312499999,101476.82875,-9.975887875e-05,0.45008850625,285.16238125,995.7011866235166
2021-11-07 15:00:00,-16.06266126691407,0.675676354330403,12.002890798274013,1361.8424,1195.4277000000002,1164.3713,278.83009333333337,4.656666666666666,0.0011,0.0005,0.0001,0.00875166666666665,0.00970166666666665,3.4833333333333334,1100.9101249999999,1148.7226375,100961.990625,-9.020325125e-06,0.15379714875,266.35931875,1188.5113268608413
2021-10-21 13:00:00,-10.415677747676234,0.8616287679167903,39.92121927778782,1064.0007,964.4512,964.4512,277.45913,1.0402166666666666,0.0007,0.0018316666666666499,0.0001,0.00379666666666665,0.015164999999999975,0.0,970.1211125,970.46484375,101410.615625,-2.7131173e-06,0.0,260.6403525,932.9557713052858
2021-12-31 12:00:00,-23.13025603340483,1.1102430520250282,53.482016178706466,826.0909,673.0364999999999,649.4424,255.91901499999997,9.448476666666668,0.00148166666666665,0.0004,0.000358333333333325,0.02039666666666665,0.0214633333333333,7.333333333333332,553.83203125,717.75,101802.8125,-4.9933731875e-05,0.00270080565,280.852715,674.4534340165408
2021-06-16 13:00:00,23.330833093414007,1.4849579669077069,63.59054528245388,617.439,519.7305,453.8548,239.81641166666665,2.5390816666666667,0.0011,0.0003,0.0017,0.00953666666666665,0.0205033333333333,10.0,539.359375,548.48046875,102086.540625,-2.5349436125e-06,0.0,268.32243374999996,499.51276519237683
2021-08-07 18:00:00,16.64759119582359,1.0393463341927558,50.52792024692848,873.7383,776.5914,744.3196,274.7281766666667,1.086865,0.0022,0.001,0.003179999999999975,0.0101133333333333,0.05264999999999995,21.96666666666667,675.00390625,675.92578125,100908.27437500001,-1.0639487225000002e-06,0.34431075749999995,241.77475124999998,755.9852571017619
2021-08-08 15:00:00,16.368880793813542,0.9069106505809317,43.23008576194193,1002.4094,887.3915,826.9355,273.2652366666667,2.057266666666667,0.00186,0.00086,0.00183666666666665,0.013196666666666624,0.024463333333333327,36.666666666666664,862.0273374999999,862.375,101369.84375,-1.4918914125e-06,0.0,251.288245,867.6914778856526
2021-10-03 17:00:00,-3.641929609448319,0.7484947782000382,28.00259955378282,1218.9922,1102.0661,1102.0662,279.78377666666665,1.0153033333333332,0.005655,0.004119999999999975,0.001814999999999975,0.02755499999999995,0.07203833333333332,0.0,998.9687812500001,1014.7695,100152.634375,-2.8560171e-06,0.0,244.37026,1096.3322545846818
2021-07-21 18:00:00,20.636710882632716,1.1169727227680568,53.737422038870434,814.4907000000001,693.0714,693.0713000000001,265.4671916666667,4.086095,0.001,0.0003,0.0005,0.0053733333333333,0.013023333333333276,0.0,592.640625,593.796875,101700.10250000001,-1.5698606e-06,0.0,262.47063875000003,675.2049622437971
