date,ghi,delta,mak,sza,TOA,GHIcc,GHI,tco3,tcwv,AOD BC,AOD DU,AOD SS,AOD OR,AOD SU,Cloud coverage,GHIera,GHIeracc,msl,ie,hcc,d2m,GHIl,GHImerra
2022-03-08 14:00:00,592.4829198130169,-5.185025855076702,0.8121534989606353,35.54301096443559,1136.7307,944.9539,510.7944,259.72802333333334,13.452396666666669,0.001635,0.0003,0.0001,0.0356733333333332,0.0228999999999999,100.0,756.6484375,960.9921875,101668.48375,-1.2400298125e-05,0.99472426875,276.27102875,692.35002,913.25
2022-03-08 15:00:00,745.1312477526069,-5.185025855076702,0.727353338263727,24.68673949235896,1267.9922,1066.0144,748.6365000000001,260.10813666666667,13.262228333333336,0.0016,0.0003,0.0001,0.0343333333333333,0.0229866666666666,90.5,910.75,1054.46875,101516.72125,-4.661880749999999e-06,0.9790229725,276.265105,918.400025,1031.5
2022-03-08 16:00:00,867.2114347357066,-5.185025855076702,0.6999824405026385,19.238716023296835,1315.728,1110.5011,674.2262000000001,260.02156333333335,13.180395,0.0015616666666666,0.0003,0.0001,0.0324999999999999,0.0224366666666665,97.25,924.93359375,1070.5078125,101323.30625,-4.10457155e-06,0.9110489,276.00466875,785.70001,1054.5
2022-03-08 17:00:00,902.3696512046026,-5.185025855076702,0.7199888802210286,23.378446577869628,1276.6732,1075.232,683.7472,259.9349933333333,13.09856,0.0015,0.0003,0.0001,0.0306666666666666,0.0218799999999999,100.0,870.61328125,1006.01953125,101161.21,-3.70718775e-06,0.8078308249999999,275.77277625,824.22502,989.25
2022-03-08 18:00:00,862.5728155339805,-5.185025855076702,0.7946210111869091,33.73202802511026,1153.4794,963.2072,476.9952,259.2207233333333,12.969751666666664,0.0014916666666666,0.0003,0.0001,0.0284416666666666,0.0207633333333333,93.51666666666668,759.02734375,866.6640625,101072.3725,-2.9119838e-06,0.7580146625,276.58518625,651.00001,823.25
2022-03-08 20:00:00,472.6663070837828,-5.185025855076702,1.3047252952442854,59.58257381933536,693.4087999999999,548.6821,122.9476,256.53678333333335,12.618185,0.0013216666666666,0.0002,0.0001,0.0232099999999999,0.0173949999999999,100.0,332.43359375,423.8671875,101071.94,-1.5624682375e-06,0.8680801524999999,276.43548875,441.425,417.0
2022-03-08 21:00:00,322.9395900755124,-5.185025855076702,2.2809852445454477,73.17913871495428,387.8845,280.9372,26.9966,255.2738183333333,12.645513333333334,0.0012966666666666,0.0002166666666666,0.0001,0.0213849999999999,0.0163816666666666,100.0,125.859375,176.9765625,101152.2125,-7.17584025e-07,0.7462425125000001,276.90245625,148.525005,180.625
2022-03-09 12:00:00,457.64113628191296,-4.794858618214097,1.3950778462176652,61.740080365395634,662.2315,523.2589,433.2045,253.28943,10.467211666666666,0.0016366666666666,0.0003,0.0002,0.0297199999999999,0.0183649999999999,41.68333333333333,481.65625,583.84765625,101679.3975,-2.940272675e-06,0.0,278.95623875,491.875,552.0
2022-03-09 13:00:00,688.5041352031643,-4.794858618214097,0.9949310573215144,48.386376758313794,928.3639,764.1809,764.1809,253.89485333333332,10.26562,0.0018216666666666,0.0003,0.0002,0.0315199999999999,0.0186833333333333,0.0,730.4140625,805.58984375,101493.4125,-5.6062416875e-06,0.0,279.007075,732.3000099999999,779.0
2022-03-09 14:00:00,986.4545127651924,-4.794858618214097,0.8140016178474817,35.72480714708746,1133.9091,952.6756,832.1298,254.5002783333333,10.06402,0.0020066666666666,0.0003,0.0002,0.0333199999999999,0.0190033333333332,20.03333333333333,859.43359375,970.9765625,101320.625,-7.594149687499999e-06,0.0,277.54314750000003,923.70002,936.0
2022-03-09 19:00:00,746.3052858683926,-4.794858618214097,0.9601497914151294,46.51380119384221,950.0244,783.8485000000001,709.9694999999999,254.6822283333333,10.377168333333334,0.001995,0.0002,0.0002,0.0309316666666666,0.0169099999999999,1.85,636.3203125,668.4453125,100727.553125,-4.413683125e-06,0.369236,272.84106875000003,780.55001,703.5
2022-03-09 20:00:00,475.0107874865156,-4.794858618214097,1.3133732908952216,59.80404552833452,688.6612,546.2907,466.3442,253.89082,10.565851666666669,0.002,0.0002,0.0002,0.0320033333333333,0.017,15.916666666666666,376.55078125,423.16015625,100786.444375,-2.8351495100000004e-06,0.55816651875,275.11091250000004,549.675025,453.125
2022-03-09 21:00:00,242.59618842143115,-4.794858618214097,2.309389496418995,73.39244363232204,382.9865,276.4223,27.9081,253.2597133333333,10.661913333333334,0.001985,0.0002,0.0002,0.031925,0.0167916666666666,100.0,134.12890625,175.4609375,100912.2025,-6.750524375e-07,0.5407981937499999,277.54877,77.5,193.9375
2022-03-10 11:00:00,276.6870430300851,-4.403703272840077,2.627082843069507,75.45214105470114,392.092,281.9644,188.312,254.34092222222225,11.849148888888893,0.0016,0.0004,0.0002,0.0314822222222221,0.0217733333333332,24.33333333333333,331.328125,363.328125,101682.69,-1.55577435e-06,0.45530701,278.59485,230.45,226.875
2022-03-10 12:00:00,521.5354189140596,-4.403703272840077,1.400130554948712,61.851289205756494,659.8884,518.1605,420.9121,255.03512,11.717435,0.00161,0.0004,0.0002,0.0312,0.0215266666666666,49.516666666666666,542.08203125,584.05859375,101578.6275,-2.683227625e-06,0.59694289375,278.2226875,488.77502,536.0
2022-03-10 15:00:00,1065.7659115426106,-4.403703272840077,0.7306320405268057,25.240594193076856,1261.6287,1066.7529,924.8816,258.18416666666667,11.462056666666667,0.0017,0.0004,0.0002,0.029755,0.0206999999999999,44.75,1019.28515625,1058.1992,101085.881875,-5.4867706125e-06,0.435714725,276.08263750000003,1045.87501,933.0
2022-03-10 16:00:00,1109.942466738583,-4.403703272840077,0.703361215152678,20.01284622827909,1308.6355,1109.8263,1015.2115,257.49196666666666,11.644546666666669,0.00165,0.0004,0.0002,0.0285249999999999,0.0200583333333333,60.91666666666667,1018.73046875,1071.9179375,100900.959375,-5.5788259625e-06,0.2531623875,274.63668,1095.500025,922.0
2022-03-10 17:00:00,1074.6494066882417,-4.403703272840077,0.7239851211606209,24.099964225797923,1268.8461,1072.9192,971.4168,256.79976666666664,11.82704,0.0016,0.0004,0.0002,0.0272999999999999,0.0194133333333333,59.91666666666666,970.28125,1005.3515625,100739.336875,-4.8522778875e-06,0.4258003275,273.17065,1064.500025,833.0
2022-03-10 18:00:00,971.5210355987056,-4.403703272840077,0.8000413811154512,34.309400030575624,1144.9655,958.5728,861.3064,256.551445,12.137101666666666,0.0015033333333333,0.0003633333333333,0.0001666666666666,0.0260516666666666,0.0186933333333332,25.0,808.73828125,863.34375,100708.11,-5.166191825e-06,0.6088714625,274.297815,955.925,674.0
2022-03-10 19:00:00,422.069399496584,-4.403703272840077,0.9645369213166132,46.76067020890045,945.4334,775.6924,692.605,256.747,12.574736666666666,0.0014033333333333,0.0003,0.0001,0.0247833333333333,0.0179,31.36666666666667,541.1640625,661.31640625,100814.7475,-4.9986992875e-06,0.88182449375,276.28143,777.5749999999999,506.375
