date,ghi,delta,mak,sza,TOA,GHIcc,GHI,tco3,tcwv,AOD BC,AOD DU,AOD SS,AOD OR,AOD SU,Cloud coverage
2017-01-22 13:15:00,765.4873333333333,-19.865473276652246,1.3084164976832815,43.27034342318979,991.7880000000001,760.548,760.548,254.5735,25.9286,0.0059,0.0005,0.0018,0.038,0.0081,3
2017-01-22 13:30:00,818.7099999999999,-19.865473276652246,1.2408195147250336,39.841236300815964,1049.544,811.056,811.056,254.34,25.98,0.0058,0.0005,0.0018,0.0379,0.0081,0
2017-01-22 13:45:00,867.266,-19.865473276652246,1.1838280950411586,36.40790822791719,1103.616,858.486,858.486,254.1065,26.0313,0.0058,0.0005,0.0018,0.0377,0.0081,1
2017-01-22 14:00:00,875.6493333333333,-19.865473276652246,1.1357038203437921,32.97196049590127,1153.77,902.5980000000001,902.5980000000001,253.873,26.0826,0.0058,0.0005,0.0018,0.0376,0.0081,13
2017-01-22 14:15:00,949.4613333333332,-19.865473276652246,1.0951130155354731,29.53533294480648,1199.796,943.158,935.07,253.6395,26.1339,0.0057,0.0005,0.0018,0.0375,0.0081,30
2017-01-22 14:30:00,978.672,-19.865473276652246,1.0610225969861493,26.10056638867221,1241.4840000000002,979.962,948.2579999999999,253.4061,26.1853,0.0057,0.0005,0.0018,0.0374,0.0081,32
2017-01-22 14:45:00,1011.7106666666666,-19.865473276652246,1.0326276023012793,22.67129478444607,1278.672,1012.836,1004.4899999999999,253.1726,26.2366,0.0057,0.0005,0.0018,0.0372,0.0081,37
2017-01-22 15:00:00,1038.1813333333332,-19.865473276652246,1.0092999309190385,19.25324981212274,1311.1860000000001,1041.6239999999998,1037.472,252.943,26.286,0.0057,0.0005,0.0018,0.0371,0.008,16
2017-01-22 15:15:00,1061.756,-19.865473276652246,0.990551654540561,15.856533377899584,1338.894,1066.206,1065.042,252.8266,26.2794,0.0057,0.0005,0.0018,0.0373,0.0081,0
2017-01-22 15:30:00,1082.268,-19.865473276652246,0.9760085938770621,12.501483804390272,1361.6760000000002,1086.45,1086.45,252.7102,26.2729,0.0057,0.0005,0.0018,0.0374,0.0081,0
2017-01-22 15:45:00,1093.6666666666667,-19.865473276652246,0.9653913268835634,9.236752110540223,1379.4360000000001,1102.242,1102.242,252.5937,26.2663,0.0057,0.0005,0.0018,0.0375,0.0082,0
2017-01-22 16:00:00,1100.97,-19.865473276652246,0.9585017413558404,6.20995705413612,1392.09,1113.504,1113.504,252.4773,26.2597,0.0057,0.0005,0.0018,0.0377,0.0082,0
2017-01-22 16:15:00,1104.602,-19.865473276652246,0.9552138612770891,4.006586680813018,1399.596,1120.182,1120.182,252.3609,26.2532,0.0057,0.0005,0.0018,0.0378,0.0083,0
